city,hotel_name,score,description,latitude,longitude,temperature,humidity
Besancon,Hotel Restaurant Vesontio,8.5,"Located 5 km from the centre of Besançon and the Musée des Beaux-Arts, Hotel restaurant Vesontio offers an air-conditioned restaurant and a meeting room. Free WiFi is available throughout. ",47.25904854,6.00806236,0,88
Besancon,ATELIER DES REVES - au coeur de Besancon - 88 m2,9.6,Managed by a private host,47.2396698,6.0343043,0,88
Besancon,Zenitude Hôtel-Résidences La City,7.8,This Zenitude Hôtel-Résidences La City is located in Besançon and offers studios and apartments with free WiFi access. It is next to the Doubs River and 2 km from the town’s train station. ,47.23568252,6.0140115,0,88
Besancon,Hotel Régina,7.8,"Featuring a terrace, Hotel Régina is set in the centre of Besançon, close to Besançon-Mouillère train station, Besancon Viotte Train Station and Time museum of Besançon. ",47.23664,6.025664,0,88
Besancon,Hotel Victor Hugo & Spa,8.4,Hotel Victor Hugo & Spa offers accommodation 50 metres from Viotte train station and just 15 minutes' walking distance from the historic city centre of Besançon. Many rooms open onto an inner garden. ,47.24741871,6.02364331,0,88
Besancon,Hotel Restaurant Siatel Chateaufarine,7.8,This hotel is located 7.5 km from the centre of Besançon in the Franche-Comté region and offers free Wi-Fi. Guests are invited to relax on the terrace or use the billiards table in the on-site bar. ,47.21613222,5.94183326,0,88
Besancon,Doubs Hotel - Besançon Ecole Valentin,8.0,Doubs Hotel - Besançon Ecole Valentin is a 3-star hotel with a terrace located in Besançon. The hotel features a shared lounge and free WiFi. ,47.27069957,5.99509656,0,88
Besancon,Zenitude Hôtel-Résidences Les Hauts Du Chazal,7.9,"This residence is located next to the big shopping center Chateaufarineau, only 15 minutes away from the city centre. ",47.22448656,5.95612407,0,88
Besancon,Hotel Du Nord,8.1,"This hotel is set in the heart of Besançon, just 700 metres from the banks of the Doubs River. Guests have free Wi-Fi internet access and are invited to relax in the hotel's lounge bar. ",47.23727603,6.02586955,0,88
Besancon,All Suites Besançon,7.9,"Situated in Besançon, within 3.3 km of Besancon Viotte Train Station and 4.4 km of Besançon-Mouillère train station, All Suites Besançon features accommodation with a garden and free WiFi throughout...",47.25435723,5.99548012,0,88
Besancon,Hôtel Restaurant Spa Le Sauvage,8.8,"Hôtel Restaurant Spa Le Sauvage, formerly the Clarisses Monestary, is located in the historic district of Besançon, 500 metres from the citadel's ancient walls. ",47.23171767,6.02759153,0,88
Besancon,Hôtel de Paris,8.3,"Located in the centre of Besançon, Hôtel de Paris offers contemporary décor, a 24-hour reception and terrace. The Besançon Citadelle is just a 15-minute walk away. Vesoul is 48 km from the property. ",47.23856537,6.02532506,0,88
Besancon,Hôtel AKENA BESANCON,8.5,"Situated in Besançon, 10 km from Micropolis, Hôtel AKENA BESANCON features accommodation with a restaurant, free private parking, a bar and a terrace. ",47.23547525,5.9000854,0,88
Besancon,ibis Styles Besançon,7.8,"Conveniently located in a park, ibis Styles Besançon is a 15-minute walk from the TGV Train Station and the centre of Besançon. It features an outdoor swimming pool with a sun terrace and free Wi-Fi. ",47.25425346,6.0216397,0,88
Besancon,ibis Besançon Centre Ville,8.3,"Located in the old town of Besançon, ibis Besançon Centre Ville is 500 metres from Viotte Train Station and both the Vauban Citadel and the Museum of Fine Arts can be found within a 20-minute walk. ",47.24045605,6.02599533,0,88
Besancon,Best Western Citadelle,8.1,"Best Western Citadelle is situated in Besançon’s historic town centre, a 5-minute walk from the River Doubs and the citadel. It offers free WiFi in the hotel rooms. ",47.231541,6.02658033,0,88
Strasbourg,Médicis Home Strasbourg,8.3,"Our senior residence opens its doors to you. Living at the Villa Médicis Strasbourg means enjoying the good life in a friendly setting, elegant and secure environment to make your old age a beautiful...",48.5732564,7.76572449,1,84
Strasbourg,Résidence La Canopée,8.3,"Résidence La Canopée is located in the Quartier Européen - Orangerie district of Strasbourg, less than 1 km from Strasbourg Christmas Market and a 14-minute walk from Strasbourg Cathedral. ",48.59274972,7.74505986,1,84
Strasbourg,Domitys Les Etoiles d'Argent,9.0,"Offering an indoor pool and a spa and wellness centre, Domitys Les Etoiles d'Argent offers self-catering accommodation set in a Senior Residence located on the outskirts of Strasbourg. ",48.60411391,7.70161988,1,84
Annecy,La petite Venise,8.5,Managed by a private host,45.9014158,6.1239177,-1,93
Annecy,Le 3 de Coeur Annecy,8.6,Managed by a private host,45.89979277,6.12620108,-1,93
Dijon,Hôtel De Paris,7.0,"Just a 5-minute walk from the historic centre of Dijon and 100 metres from the Train Station, Hôtel de Paris features contemporary rooms with free Wi-Fi and a bar with a terrace. ",47.32343058,5.03017455,0,89
Dijon,Campanile Dijon Congrès Clemenceau,8.1,"Located in Dijon, Campanile Dijon Congrès Clémenceau offers air-conditioned guest rooms and free Wi-Fi access throughout. ",47.32874479,5.05931675,0,89
Annecy,le panorama du lac,7.7,Managed by a private host,45.89464468,6.13043418,-1,93
Dijon,Appart’City Dijon – Toison D’or,7.0,Appart'City Dijon - Toison D'or is located 10 minutes from the centre of Dijon in the Toison d’Or Technological Park. It offers 2 and 3-room apartment suites with free WiFi internet access. ,47.35495715,5.03765523,0,89
Dijon,Mercure Dijon Centre Clemenceau,8.0,"Mercure Dijon Centre Clémenceau is a 4-star non-smoking hotel in the city centre of Dijon, opposite the Auditorium and the Convention Centre. ",47.32814395,5.05142838,0,89
Dijon,Oceania Le Jura Dijon,8.4,"The Hôtel Le Jura is located in the city centre, 200 metres from the train station and a 10-minute tram ride from the Palais de Congrès. ",47.3236074,5.03021546,0,89
Strasbourg,Hôtel de l'Europe by HappyCulture,8.1,"Hôtel de l'Europe by HappyCulture provides en suite accommodation in Petite France, the historic pedestrian area of Strasbourg’s city centre and is 500 metres from Notre Dame Cathedral. ",48.582097,7.74293996,1,84
Strasbourg,Le Grand Elsau - WIFI - Parking gratuit - 15 min centre,8.3,Managed by a private host,48.5647302,7.7266134,1,84
Strasbourg,Hotel des Arts - Centre Cathédrale,8.0,Hôtel Des Arts is located in the heart of the pedestrian area in the centre of historical Strasbourg. It offers comfortable accommodation with air conditioning and free Wi-Fi. ,48.58031945,7.75127023,1,84
Strasbourg,"voco Strasbourg Centre - The Garden, an IHG Hotel",8.4,"Boasting a garden and a restaurant, Voco - Strasbourg Centre - The Garden - Garden is set in Strasbourg. With a terrace, the property also features a shared lounge, as well as a bar. ",48.589685,7.739508,1,84
Strasbourg,Ciarus,8.2,"Located in Strasbourg, this hotel is just 600 metres from the Palace of the Rhine and a 15-minute walk from Strasbourg Cathedral. ",48.5893507,7.7475403,1,84
Strasbourg,Residence Inn by Marriott Strasbourg,7.9,"Situated in Strasbourg, 200 metres from Strasbourg Exhibition Centre, Residence Inn by Marriott Strasbourg features air-conditioned accommodation and a bar. ",48.59899457,7.76217318,1,84
Strasbourg,AC Hotel by Marriott Strasbourg,8.9,"Set in Strasbourg, 200 metres from Strasbourg Exhibition Centre, AC Hotel by Marriott Strasbourg offers air-conditioned rooms and a bar. ",48.59900335,7.76195994,1,84
Strasbourg,HANNONG Hotel & Wine Bar,8.6,"The Hannong Hotel is located in the heart of Strasbourg, just a 5-minute walk from the TGV train station, Petite France district and the Cathedral. It offers free Wi-Fi access. ",48.58279611,7.74312839,1,84
Strasbourg,Aparthotel Adagio Access Strasbourg Petite France,8.2,"Located in the city centre, this Aparthotel with a 24-hour reception is just 1.5 km from Strasbourg Cathedral.  Free WiFi access and a fully equipped kitchen are in the modern studios and apartments. ",48.57924766,7.73222588,1,84
Strasbourg,Hôtel Tandem - Boutique Hôtel,9.0,"Located opposite Strasbourg TGV Train Station, this eco-friendly Boutique Hotel is just 1.7 km from the city centre and a 5-minute walk from the picturesque Petite France district. ",48.58383633,7.73494899,1,84
Strasbourg,Citadines Kléber Strasbourg,8.2,"Located next to Place Kléber, this Citadines Apart'hotel is just a 10-minute walk from Strasbourg SNCF Train Station. ",48.58384564,7.74342477,1,84
Strasbourg,Le Grand Hotel,8.2,"Located opposite Strasbourg train station, the Grand Hotel is located a 10-minute walk from the city centre and Place Kléber. It offers a bar, terrace and free Wi-Fi access. ",48.58469688,7.736561,1,84
Strasbourg,"Holiday Inn Express Strasbourg Centre, an IHG Hotel",8.0,"Located a 10-minute walk from Strasbourg’s pedestrian area, Holiday Inn Express Centre offers free internet access and a free buffet continental breakfast. ",48.57154052,7.74525492,1,84
Strasbourg,Avenue de La Paix - L'Exclusif,9.2,"Located in Strasbourg, 500 metres from St. Paul's Church, Avenue de La Paix - L'Exclusif provides accommodation with a garden, free WiFi, a 24-hour front desk, and an ATM. ",48.588792,7.755187,1,84
Strasbourg,Appart'City Strasbourg Centre,7.7,"Conveniently located in the centre of Strasbourg, Appart'City Strasbourg is a 10-minute walk from the train station. ",48.57772068,7.73397669,1,84
Strasbourg,Citadines Eurometropole Strasbourg,8.6,"Situated in Strasbourg, 3.6 km from Zénith de Strasbourg, Citadines Eurometropole Strasbourg features a restaurant, and a spa and wellness centre with a indoor pool, a fitness room and a Turkish bath....",48.60427412,7.70446112,1,84
Strasbourg,145m² city center 4 bedrooms view of the Cathedral,8.0,"Boasting city views, 145m² city center 4 bedrooms view of the Cathedral features accommodation with a balcony and a kettle, around 800 metres from Strasbourg Cathedral. ",48.5804957,7.7563554,1,84
Strasbourg,City Résidence Strasbourg Centre,7.0,City Résidence Strasbourg Centre is located 1 km from Strasbourg Train Station and 1.5 km from La Petite France district in Strasbourg city. ,48.58906194,7.73879863,1,84
Strasbourg,Studio Parc des Contades,9.7,Managed by a private host,48.5928691,7.7591739,1,84
Strasbourg,Séjours & Affaires Strasbourg Kleber,7.9,"This residence offers comfortable, self catering accommodation. It is in a quiet road in the city centre, a 5-minute walk from the historic Petite France district and Strasbourg Cathedral. ",48.58319667,7.74285212,1,84
Strasbourg,City Residence Access Strasbourg,6.9,"Located in Strasbourg within 900 metres of Strasbourg Christmas Market, City Residence Access Strasbourg features accommodation with a TV and a kitchenette. ",48.590014,7.73987,1,84
Annecy,Rivage Hôtel & Spa Annecy,8.9,"Featuring 4-star accommodation, Rivage Hôtel & Spa Annecy is set in Annecy, 2.1 km from Palais de l Ile and 2.2 km from Chateau d'Annecy. ",45.905699,6.151953,-1,93
Annecy,Séjours & Affaires Annecy Le Pont Neuf,7.3,The Séjours & Affaires Annecy Le Pont Neuf is located 3 km from Lake Annecy and 1 km from Annecy’s historic centre. ,45.89719347,6.11080974,-1,93
Annecy,Douceur et confort à 3 min du lac - parking,9.2,"Located 37 km from Bourget Lake, 38 km from Stade de Genève and 41 km from Jet d'Eau, Douceur et confort à 3 min du lac - parking provides accommodation situated in Annecy. ",45.9046032,6.1301354,-1,93
Annecy,Best Western Hotel International,8.1,"Featuring a fitness centre with a hammam and hot tub, Best Western Hotel International is situated at the entrance of Annecy, 2 km from Annecy Lake and city centre. ",45.89998968,6.11575842,-1,93
Annecy,Apartment in the heart of the old town of Annecy and close to the lake,9.0,"Situated in the centre of Annecy, just 37 km from Rochexpo and 38 km from Bourget Lake, Apartment in the heart of the old town of Annecy and close to the lake features accommodation with city views...",45.8994517,6.1263942,-1,93
Annecy,Atipik Hôtel Alexandra,8.3,"Situated 200 metres from the shores of Lake Annecy, Atipik Hôtel Alexandra is at the entrance of the medieval old town and pedestrian shopping streets. It offers en suite rooms with free WiFi. ",45.90122721,6.12507373,-1,93
Annecy,Cosy au bord du lac avec terrasse privée,8.7,Managed by a private host,45.907292,6.1471642,-1,93
Annecy,Hôtel du Château,8.5,Hotel du Chateau is a hotel situated at the foot of Annecy Castle. It has views over the old town. The reception offers free WiFi. Guest rooms at the Hotel du Chateau are simply decorated. ,45.89789347,6.12520516,-1,93
Annecy,Allobroges Park Hôtel,8.7,"Set in Annecy City Centre, this 3-star hotel is located a 10-minute walk from Annecy Chateau. It has a 24-hour reception and offers free WiFi access. ",45.90218661,6.12380505,-1,93
Annecy,Hôtel du Nord,8.3,"Hotel du Nord, is located in the centre of Annecy and offers 2-star accommodation a few minutes from the lake, shops, bars, restaurants and train station. It offers 24/7 reception and free WiFi. ",45.90205968,6.12464726,-1,93
Annecy,Aparthotel Adagio Annecy Centre,8.3,"Offering a fitness centre, Aparthotel Adagio Annecy Centre features studios and apartments with free WiFi in central Annecy. ",45.90320198,6.12267315,-1,93
Annecy,Hôtel Catalpa,8.3,"Set just off the banks of Lake Annecy, this hotel offers free high speed WiFi throughout and is 1.5 km from the centre of town. You can relax on the public beach, 300 metres away. ",45.90551449,6.14412814,-1,93
Annecy,Hôtel du Palais de l'Isle,8.3,"This hotel is located in the heart of Annency, a few steps from the castle. It offers individually-decorated rooms with views of the canals, the medieval castle or the town. ",45.89819586,6.12748235,-1,93
Annecy,APPALACHES Annecy Rent Lodge,9.1,"In a central area of Annecy, set around 37 km from Rochexpo, APPALACHES Annecy Rent Lodge offers free WiFi, air conditioning, and household amenities such as Electric kettle and a fridge. ",45.8990746,6.1281462,-1,93
Annecy,Hôtel de Bonlieu,8.4,"Located 500 metres away from Lake Annecy, and a 12-minute walk from Annecy castle, Hôtel de Bonlieu offers accommodation with free WiFi and a 24-hour front desk. ",45.90349688,6.12847745,-1,93
Annecy,Hôtel des Alpes,8.4,"The Hôtel des Alpes offers 2-star accommodation a 10-minute walk from Lake Annecy and 100 meters away from the train station. The old city, shops and restaurants are within walking distance. ",45.90163038,6.12292528,-1,93
Annecy,L'Eau Vive - sauna et jacuzzi en centre piéton,9.7,"Conveniently set in the centre of Annecy, L'Eau Vive - sauna et jacuzzi en centre piéton offers a balcony, air conditioning, free WiFi and flat-screen TV. ",45.8990435,6.1245071,-1,93
